Strike;Price;Maturity
8025.00;715.10;8/19/2022
8000.00;692.00;8/19/2022
7975.00;669.10;8/19/2022
7950.00;646.60;8/19/2022
7925.00;624.30;8/19/2022
7900.00;602.40;8/19/2022
7875.00;580.90;8/19/2022
7850.00;559.80;8/19/2022
7825.00;539.10;8/19/2022
7800.00;518.80;8/19/2022
7775.00;499.00;8/19/2022
7750.00;479.70;8/19/2022
7725.00;460.90;8/19/2022
7700.00;442.60;8/19/2022
7675.00;424.90;8/19/2022
7650.00;407.70;8/19/2022
7625.00;391.10;8/19/2022
7600.00;375.00;8/19/2022
7575.00;359.60;8/19/2022
7550.00;344.70;8/19/2022
7525.00;330.40;8/19/2022
7500.00;316.70;8/19/2022
7475.00;303.60;8/19/2022
7450.00;291.00;8/19/2022
7425.00;279.10;8/19/2022
7400.00;267.60;8/19/2022
7375.00;256.80;8/19/2022
7350.00;246.40;8/19/2022
7325.00;236.60;8/19/2022
7300.00;227.20;8/19/2022
7275.00;218.30;8/19/2022
7250.00;209.80;8/19/2022
7225.00;201.70;8/19/2022
7200.00;194.00;8/19/2022
7175.00;186.60;8/19/2022
7150.00;179.60;8/19/2022
7125.00;172.90;8/19/2022
7100.00;166.50;8/19/2022
7075.00;160.40;8/19/2022
7050.00;154.60;8/19/2022
7025.00;149.00;8/19/2022
7000.00;143.70;8/19/2022
6975.00;138.70;8/19/2022
6950.00;133.90;8/19/2022
6925.00;129.30;8/19/2022
6900.00;124.90;8/19/2022
6875.00;120.70;8/19/2022
6850.00;116.70;8/19/2022
6825.00;112.90;8/19/2022
6800.00;109.20;8/19/2022
6775.00;105.80;8/19/2022
6750.00;102.40;8/19/2022
6725.00;99.20;8/19/2022
6700.00;96.20;8/19/2022
6675.00;93.20;8/19/2022
6650.00;90.40;8/19/2022
6625.00;87.80;8/19/2022
6600.00;85.20;8/19/2022
8350.00;1090.10;9/16/2022
8300.00;1041.80;9/16/2022
8250.00;993.80;9/16/2022
8200.00;946.40;9/16/2022
8150.00;899.60;9/16/2022
8100.00;853.60;9/16/2022
8050.00;808.40;9/16/2022
8025.00;786.20;9/16/2022
8000.00;764.20;9/16/2022
7975.00;742.50;9/16/2022
7950.00;721.20;9/16/2022
7925.00;700.10;9/16/2022
7900.00;679.40;9/16/2022
7875.00;659.00;9/16/2022
7850.00;638.90;9/16/2022
7825.00;619.30;9/16/2022
7800.00;600.00;9/16/2022
7775.00;581.20;9/16/2022
7750.00;562.70;9/16/2022
7725.00;544.70;9/16/2022
7700.00;527.10;9/16/2022
7675.00;509.90;9/16/2022
7650.00;493.20;9/16/2022
7625.00;477.00;9/16/2022
7600.00;461.20;9/16/2022
7575.00;445.80;9/16/2022
7550.00;431.00;9/16/2022
7525.00;416.60;9/16/2022
7500.00;402.60;9/16/2022
7475.00;389.20;9/16/2022
7450.00;376.10;9/16/2022
7425.00;363.60;9/16/2022
7400.00;351.50;9/16/2022
7375.00;339.80;9/16/2022
7350.00;328.60;9/16/2022
7325.00;317.80;9/16/2022
7300.00;307.50;9/16/2022
7275.00;297.50;9/16/2022
7250.00;288.00;9/16/2022
7225.00;278.80;9/16/2022
7200.00;270.00;9/16/2022
7175.00;261.40;9/16/2022
7150.00;253.20;9/16/2022
7125.00;245.30;9/16/2022
7100.00;237.70;9/16/2022
7075.00;230.40;9/16/2022
7050.00;223.30;9/16/2022
7025.00;216.60;9/16/2022
7000.00;210.00;9/16/2022
6975.00;203.70;9/16/2022
6950.00;197.70;9/16/2022
6925.00;191.80;9/16/2022
6900.00;186.20;9/16/2022
6875.00;180.80;9/16/2022
6850.00;175.60;9/16/2022
6825.00;170.60;9/16/2022
6800.00;165.80;9/16/2022
6775.00;161.10;9/16/2022
6750.00;156.60;9/16/2022
6725.00;152.30;9/16/2022
6700.00;148.20;9/16/2022
6675.00;144.20;9/16/2022
6650.00;140.30;9/16/2022
6600.00;133.00;9/16/2022
6550.00;126.20;9/16/2022
6500.00;119.90;9/16/2022
6450.00;113.90;9/16/2022
6400.00;108.40;9/16/2022
6350.00;103.30;9/16/2022
6300.00;98.50;9/16/2022
6250.00;94.00;9/16/2022
6200.00;89.70;9/16/2022
6150.00;85.80;9/16/2022
6100.00;82.00;9/16/2022
6050.00;78.50;9/16/2022
6000.00;75.20;9/16/2022
5950.00;72.10;9/16/2022
7975.00;758.40;10/21/2022
7950.00;738.70;10/21/2022
7925.00;719.30;10/21/2022
7900.00;700.30;10/21/2022
7875.00;681.60;10/21/2022
